model,MAE,RMSE,R2,CV_RMSE,is_best
RandomForest,2808158000,4111079000,0.709163,7021805000,1
GradientBoosting,2949640000,4470583000,0.656073,7373439000,0
LinearRegression,3910352000,5672917000,0.446202,13140010000,0
